Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
38,-111.46918,9.180005,-156.61668,-103.55952,78.82836,24.0,328.0,-3.9882472,-6.797936,-1.8654803,0.07228765,-2.5558112,1.1837363,-0.07228765,0.064668216,-0.006485492,-0.013852931,0.7191521,0.0024239323,80.0,65025,1.0070348,0.0002926,-77.18531799316406,18.13132095336914,0.49669134389942987,1216000,480,2544
39,-112.05428,9.05682,-155.95819,-103.07844,82.44819,22.0,297.0,-3.9028578,-6.4952164,-1.7127036,0.06661207,-2.8909702,1.3519357,-0.06661208,0.07110061,-0.006804049,-0.0132514145,0.718482,0.0024191837,80.0,65025,1.0068791,0.0002924,-76.93215942382812,18.355297088623047,0.4963586643081122,1248000,492,2533
40,-112.69703,9.921302,-151.16837,-103.700226,84.23342,24.0,291.0,-3.8218582,-6.5643716,-1.7298365,0.05991757,-2.41726,1.331272,-0.05991757,0.06258607,-0.006260367,-0.013441516,0.7178116,0.0024403334,80.0,65025,1.0069659,0.00029219999999999995,-76.67738342285156,18.58220100402832,0.4960260005845061,1280000,505,2537
41,-113.062256,10.9752655,-163.18771,-103.27253,87.040985,21.0,352.0,-3.729837,-6.545439,-1.6184175,0.064443275,-2.6808007,1.1503315,-0.064443275,0.06607801,-0.0064706802,-0.012558276,0.71714056,0.0026071751,80.0,65025,1.0072205,0.000292,-76.40238189697266,18.849363327026367,0.49569332344985473,1312000,517,2542
42,-114.241104,11.369203,-161.77008,-103.739746,95.06866,26.0,323.0,-3.5988128,-6.2351546,-1.5755165,0.077444196,-2.7745945,1.1319746,-0.077444196,0.061291713,-0.006206345,-0.011721563,0.71646935,0.0024223214,80.0,65025,1.0088844,0.0002918,-76.0956802368164,19.150968551635742,0.4953606627561073,1344000,530,2530
43,-114.22622,11.639981,-168.702,-103.661606,93.961655,26.0,372.0,-3.5432677,-6.235724,-1.5507827,0.07195892,-3.2134268,1.1389755,-0.07195892,0.06532608,-0.0065929675,-0.012634002,0.7157974,0.002437841,80.0,65025,1.0083407,0.0002916,-75.80313873291016,19.43526840209961,0.49502798926376246,1376000,543,2541
44,-116.57839,13.947223,-169.2397,-103.32602,107.965515,22.0,383.0,-3.354297,-6.0721793,-1.4264518,0.08882144,-2.7751198,1.3519611,-0.08882144,0.06526707,-0.006886525,-0.0148859285,0.71512514,0.0025367842,80.0,65025,1.0105286,0.0002914,-75.41748046875,19.893592834472656,0.49469533278470973,1408000,555,2538
45,-115.83267,13.508737,-168.85484,-103.40996,103.232025,25.0,362.0,-3.3060496,-6.263709,-1.3103772,0.080272734,-2.7477663,1.2241607,-0.080272734,0.062133137,-0.006335305,-0.01420149,0.7144526,0.0023697824,80.0,65025,1.0084876,0.0002912,-75.08012390136719,20.24734115600586,0.4943626641187013,1440000,568,2542
46,-117.98089,15.198975,-178.63213,-103.68118,114.881294,25.0,426.0,-3.1805103,-6.2431593,-1.34407,0.08279477,-2.706582,1.3093883,-0.08279477,0.061688207,-0.0066548027,-0.013143629,0.71377957,0.0026072906,80.0,65025,1.0095336,0.00029099999999999997,-74.72262573242188,20.619524002075195,0.49403001303756583,1472000,581,2549
47,-118.92972,16.295776,-169.27797,-103.83044,121.091606,26.0,439.0,-3.0758326,-5.8542924,-1.3256644,0.08517648,-2.5060139,1.1495471,-0.08517648,0.06231896,-0.0063576307,-0.013273802,0.7131059,0.002454778,80.0,65025,1.0082629,0.00029079999999999997,-74.34296417236328,21.030607223510742,0.49369732095365265,1504000,593,2548
