Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
54,-145.66682,83.83773,-945.2148,-100.84319,83.09309,3.0,500.0,-1.1573881,-4.6866884,-0.30873457,-0.014394161,-0.7402613,0.31708366,0.01439416,0.0047667315,-0.0012164207,-0.00095786457,0.55344385,0.0017024034,80.0,1371,0.99531853,0.000247,-112.58487701416016,71.98287200927734,0.42084332320072254,1728000,268,6485
55,-138.27231,61.82166,-651.87164,-101.001434,75.67157,8.0,500.0,-1.1430784,-4.0674925,-0.4688602,-0.0042184177,-0.6730083,1.1631758,0.004218417,0.0040921355,-0.001077109,-0.00033287535,0.54948384,0.0016243272,80.0,1371,0.9978863,0.000246,-111.99781036376953,71.65775299072266,0.4191799984699375,1760000,272,6605
56,-140.47813,58.416656,-438.51324,-100.68462,79.74479,8.0,500.0,-1.1200819,-3.1879876,-0.4436058,-0.010333083,-0.6754465,0.62695086,0.010333081,0.004032161,-0.0012229325,-0.00041877467,0.54550785,0.0018607681,80.0,1371,0.9959096,0.000245,-111.43533325195312,71.31303405761719,0.41751667786084656,1792000,278,6081
57,-143.0075,73.132286,-746.6855,-101.0796,82.16931,5.0,500.0,-1.144932,-4.9558334,-0.26168504,-0.009343813,-0.78035986,0.47911394,0.009343812,0.004592032,-0.0012068977,-0.00079665415,0.5415159,0.0018182074,80.0,1371,0.99604726,0.000244,-110.8818130493164,71.0009765625,0.41585333923923135,1824000,283,6373
58,-142.95747,64.14012,-504.971,-100.971855,82.74541,4.0,500.0,-1.1342273,-2.0672889,-0.3066285,-0.008023788,-0.7203974,0.3238002,0.008023789,0.003726391,-0.0011134964,-0.0003852118,0.5375081,0.0017988244,80.0,1371,0.9951106,0.000243,-110.35237121582031,70.66380310058594,0.4141900108255301,1856000,289,4986
59,-147.06055,63.119774,-514.29114,-100.93189,94.173256,6.0,500.0,-1.1168052,-1.9699519,0.12824458,-0.0015720486,-1.3889163,0.48644018,0.0015720485,0.003737697,-0.0010792578,-0.0004917514,0.5334839,0.001573104,80.0,1371,0.9985669,0.00024199999999999997,-109.76750946044922,70.4156494140625,0.4125266718468561,1888000,294,6346
60,-142.71855,73.4952,-838.8926,-100.551865,83.0133,6.0,500.0,-1.149198,-2.43636,-0.31631452,-0.008466135,-1.4151736,0.3365763,0.008466136,0.0049407664,-0.0012634099,-0.00075456535,0.5294438,0.0017962642,80.0,1371,0.9958244,0.00024099999999999998,-109.2664794921875,70.11164093017578,0.41086332699393735,1920000,299,6356
61,-148.5015,74.06956,-759.4226,-100.746735,93.06006,5.0,500.0,-1.1414593,-3.5607696,-0.4688482,-0.009051158,-0.61680603,0.34711444,0.009051158,0.0038177618,-0.0011974752,-0.0007514969,0.5253873,0.0018521163,80.0,1371,0.99557924,0.00023999999999999998,-108.76831817626953,69.8116683959961,0.40920000592278644,1952000,304,6319
62,-144.83539,58.834404,-365.43542,-100.27178,93.47891,3.0,500.0,-1.1168818,-2.7170286,0.652556,-0.005355689,-1.7596775,0.40232962,0.0053556887,0.00352681,-0.0010305208,-0.0004701095,0.52131414,0.0016712422,80.0,1371,0.99715304,0.00023899999999999998,-108.21946716308594,69.57130432128906,0.407536665592017,1984000,309,6580
63,-143.97005,68.61639,-525.8242,-100.79485,90.90294,5.0,500.0,-1.1069697,-1.8926574,-0.36378998,-0.0048692226,-0.7052968,0.38450435,0.0048692226,0.003651924,-0.0012064298,-0.0005656597,0.5172244,0.0019830696,80.0,1371,0.9965738,0.00023799999999999998,-107.67989349365234,69.34270477294922,0.4058733368988917,2016000,314,6380
