Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
53,-227.11082,89.99846,-573.3863,-129.932,217.26056,59.0,500.0,-0.57942384,-1.7392806,-0.036216237,-0.0020673906,-0.9015326,0.5166233,0.0020673904,0.0032573426,-0.00085659325,-0.0002243343,0.7090548,0.0014648677,80.0,10795,0.99838316,0.0002896,-131.21414184570312,140.5447540283203,0.49170132536663863,1696000,266,6370
54,-240.23686,100.70891,-842.5038,-101.18726,238.19685,7.0,500.0,-0.5595829,-1.7663319,-0.114759184,-0.0036324658,-0.7696432,0.3779649,0.003632466,0.0032002637,-0.0008971209,-0.0003556473,0.70837796,0.0015194925,80.0,10795,0.9972943,0.0002894,-130.22059631347656,139.6653289794922,0.49136867850800625,1728000,271,6359
55,-246.94943,116.97971,-984.2235,-101.45275,245.93549,7.0,500.0,-0.5550775,-1.0592481,0.010555148,-0.005509081,-0.47759962,0.30760676,0.0055090804,0.003148566,-0.00096178043,-0.0003748093,0.70770067,0.0016584789,80.0,10795,0.9975563,0.0002892,-129.24488830566406,138.8207244873047,0.4910359932800518,1760000,276,6362
56,-283.03314,134.06006,-997.35474,-135.79216,274.4732,79.0,500.0,-0.58092666,-1.4097184,-0.12351591,-0.009244437,-0.63920504,0.5093268,0.009244437,0.0037294896,-0.0010209051,-0.00046989956,0.70702296,0.0016540559,80.0,10795,0.9962543,0.000289,-128.41078186035156,137.91744995117188,0.4907033285619568,1792000,281,6420
57,-256.7366,139.93526,-972.8393,-102.022964,235.49612,7.0,500.0,-0.59741616,-1.6376584,-0.079365775,-0.008801501,-0.8202833,0.4075399,0.008801501,0.0034340052,-0.0010452179,-0.00034136226,0.70634466,0.0018067088,80.0,10795,0.99443495,0.00028879999999999997,-127.63426208496094,137.01634216308594,0.49037065538895963,1824000,286,6379
58,-276.9202,104.826645,-640.7433,-139.02402,298.65048,72.0,500.0,-0.5724663,-1.4527303,-0.08461933,-0.004009703,-0.6603196,0.4258392,0.004009703,0.003292953,-0.000987075,-0.0004302183,0.70566624,0.0016600254,80.0,10795,0.9982807,0.00028859999999999997,-126.70637512207031,136.24929809570312,0.4900380032924869,1856000,291,6389
59,-292.4012,114.08484,-670.0884,-99.41926,297.0495,83.0,500.0,-0.6010271,-1.3033707,-0.13505305,-0.005890087,-0.6174741,0.44343674,0.005890087,0.0032133136,-0.0009442046,-0.00024285479,0.7049872,0.0017113631,80.0,10795,0.9968362,0.00028839999999999996,-125.90968322753906,135.4144287109375,0.4897053433470194,1888000,296,6355
60,-298.54352,116.09868,-660.2245,-101.635605,288.71698,8.0,500.0,-0.63252455,-1.8562553,-0.14232603,-0.007847699,-0.78794205,0.40476465,0.007847699,0.0030718483,-0.0009288771,-0.00027351605,0.70430756,0.0017881697,80.0,10795,0.9968163,0.00028819999999999996,-125.20693969726562,134.55015563964844,0.4893726758750267,1920000,301,6243
61,-279.96298,105.29096,-679.8637,-140.80872,301.39603,81.0,500.0,-0.58355355,-1.394099,-0.09009223,-0.0023089193,-0.6524874,0.4302551,0.0023089196,0.0028688165,-0.00091352424,-0.00027431257,0.7036275,0.0017410775,80.0,10795,0.99630535,0.00028799999999999995,-124.3827896118164,133.801513671875,0.4890400011987705,1952000,306,6380
62,-301.2197,117.01394,-788.5451,-116.76006,304.58163,75.0,500.0,-0.60870105,-1.4330627,-0.09946796,-0.006508022,-0.6796415,0.35655704,0.0065080225,0.0032673518,-0.0010175407,-0.00027890468,0.7029469,0.001866871,80.0,10795,0.99541324,0.0002878,-123.6690902709961,133.0064239501953,0.4887073196403035,1984000,311,6353
63,-290.04233,95.65531,-583.76935,-101.53663,305.44897,7.0,500.0,-0.60721314,-1.2028558,-0.09796852,-0.0027579812,-0.48824644,0.41575313,0.0027579814,0.0027764905,-0.0009536778,-0.00023501943,0.70226604,0.0018290695,80.0,10795,0.9967207,0.0002876,-122.91419219970703,132.26026916503906,0.48837466063086676,2016000,316,6386
64,-288.69092,100.52047,-606.9147,-101.438515,305.33664,7.0,500.0,-0.6015779,-1.4470806,-0.10679359,-0.004966777,-0.7122798,0.40557283,0.004966777,0.0027910776,-0.0010350549,-0.00020803306,0.7015847,0.0019907665,80.0,10795,0.9966588,0.00028739999999999994,-122.19482421875,131.5203857421875,0.48804199534303844,2048000,321,6342
65,-307.01056,89.565346,-603.8004,-165.17763,336.87778,114.0,500.0,-0.6009281,-1.3085351,-0.1132166,-0.0018847558,-0.48735034,0.50565577,0.0018847559,0.0024302397,-0.0008944182,-0.00015908804,0.7009028,0.0018712241,80.0,10795,0.9965735,0.0002872,-121.46543884277344,130.8167724609375,0.4877093240982414,2080000,326,6354
66,-302.3229,92.04333,-608.14856,-102.327415,317.48422,7.0,500.0,-0.5939635,-1.1828476,-0.025478289,-0.0057666246,-0.47975123,0.30220306,0.005766624,0.0025647702,-0.0009392891,-0.00016931546,0.70022047,0.0018706478,80.0,10795,0.9967098,0.000287,-120.81092071533203,130.07847595214844,0.48737667626760073,2112000,331,6374
67,-288.9732,79.80831,-507.52905,-101.38064,325.55914,8.0,500.0,-0.5922911,-1.1469924,-0.17984596,-0.0020966872,-0.46402088,0.3085719,0.002096687,0.0023469448,-0.0008884308,-0.0001438439,0.6995376,0.0019128802,80.0,10795,0.99817204,0.0002868,-120.083984375,129.41690063476562,0.4870439940524629,2144000,336,6369
68,-300.33444,88.91888,-513.94806,-102.77265,320.54736,9.0,500.0,-0.6047816,-1.2039042,-0.1303677,-0.004576656,-0.526402,0.3213835,0.0045766556,0.0024693133,-0.00093141827,-0.0001514744,0.69885445,0.0019196966,80.0,10795,0.9957739,0.0002866,-119.44466400146484,128.71783447265625,0.48671133585361515,2176000,341,6350
69,-320.91754,107.47281,-676.9972,-101.36348,333.0,8.0,500.0,-0.6233807,-1.3975785,-0.16730094,-0.007187166,-0.769971,0.5259771,0.0071871653,0.003004467,-0.0011306916,-0.00020418369,0.6981708,0.0022384957,80.0,10795,0.9953027,0.00028639999999999997,-118.86248779296875,128.01400756835938,0.4863786729417219,2208000,346,6379
